ARO Accession,AMR Gene Family,Drug Class,Resistance Mechanism
ARO:3005099,Erm 23S ribosomal RNA methyltransferase,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic,antibiotic target alteration
ARO:3002523,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002524,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002525,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002526,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002527,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3004628,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3003988,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002528,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002530,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002600,aminoglycoside bifunctional resistance protein,aminoglycoside antibiotic,antibiotic inactivation
ARO:3002531,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002529,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002533,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002534,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002535,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3004623,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3004621,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3005085,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002536,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002537,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002538,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002539,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3005061,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002543,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002540,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002541,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002542,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002544,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002583,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002584,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002599,aminoglycoside bifunctional resistance protein,aminoglycoside antibiotic,antibiotic inactivation
ARO:3002585,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002586,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3003989,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002588,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3002587,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3004641,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
ARO:3004638,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
